code,date,number 1,number 2,number 3,number 4,number 5,number 6
345,17/10/2019,5,11,14,34,51,53
346,19/10/2019,1,10,21,26,42,43
347,22/10/2019,2,16,26,27,36,40
348,24/10/2019,9,14,23,41,45,50
349,26/10/2019,18,20,22,50,51,53
350,29/10/2019,12,15,16,31,43,55
351,31/10/2019,18,19,22,37,47,48
352,02/11/2019,2,15,34,35,48,50
353,05/11/2019,3,6,16,17,44,50
354,07/11/2019,1,12,19,37,44,52
355,09/11/2019,1,3,6,25,29,41
356,12/11/2019,10,17,24,27,36,39
357,14/11/2019,9,12,16,36,41,55
358,16/11/2019,6,8,18,22,49,52
359,19/11/2019,19,21,33,35,38,40
360,21/11/2019,21,24,35,38,42,47
361,23/11/2019,7,29,30,45,50,55
362,26/11/2019,7,19,38,41,42,47
363,28/11/2019,1,18,26,28,53,55
364,30/11/2019,8,9,10,32,44,50
365,03/12/2019,21,29,36,41,50,52
366,05/12/2019,9,11,16,27,35,40
367,07/12/2019,7,18,38,42,47,51
368,10/12/2019,5,20,33,42,43,49
369,12/12/2019,1,9,15,42,49,50
370,14/12/2019,3,30,33,34,40,47
371,17/12/2019,4,5,14,19,22,37
372,19/12/2019,18,22,25,28,29,34
373,21/12/2019,5,8,20,34,37,42
374,24/12/2019,3,16,30,34,50,55
375,26/12/2019,5,6,12,18,23,54
376,28/12/2019,10,17,26,28,29,32
377,31/12/2019,2,22,26,28,44,55
378,02/01/2020,12,14,26,29,33,40
379,04/01/2020,4,14,26,42,44,55
380,07/01/2020,8,11,16,22,42,54
381,09/01/2020,17,20,21,29,52,54
382,11/01/2020,8,11,17,19,25,47
383,14/01/2020,3,4,17,39,50,51
384,16/01/2020,10,11,26,33,44,46
385,18/01/2020,13,18,19,23,32,43
386,21/01/2020,14,31,45,47,52,54
387,23/01/2020,9,15,18,25,31,49
388,28/01/2020,1,20,24,33,40,55
389,30/01/2020,12,18,28,30,47,50
390,01/02/2020,2,3,11,23,35,54
391,04/02/2020,6,10,20,47,52,55
392,06/02/2020,13,18,34,36,45,49
393,08/02/2020,9,12,19,25,41,54
394,11/02/2020,4,14,18,21,32,53
395,13/02/2020,25,28,32,34,35,39
396,15/02/2020,26,36,37,38,42,49
397,18/02/2020,27,32,36,37,47,48
398,20/02/2020,1,3,20,33,36,51
399,22/02/2020,7,24,32,49,51,54
400,25/02/2020,5,13,21,36,39,48
401,27/02/2020,3,11,21,29,47,55
402,29/02/2020,9,17,23,26,51,54
